,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Stako Oy,23.02.2015,
1,Y-tunnus,2673876-7,,
2,Kotipaikka,Sastamala,23.02.2015,
3,Yritysmuoto,Osakeyhtiö,23.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.02.2015,,
6,Viimeisin rekisteröintiajankohta,21.03.2023,21.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,23.02.2015,,
8,Yrityksen tila,Rekisterissä,23.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.03.2020,
11,Yhteystiedot,,13.08.2021,
12,Postiosoite,PL 99  38201  Sastamala  Suomi,,
13,Puhelin,040 7239099,,
14,Sähköposti,lilli(a)stako.fi,,
15,Www,http://www.stako.fi,,
