,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fastighets Ab Rydberg,01.09.2015,
1,Y-tunnus,2691858-1,,
2,Kotipaikka,Maalahti,01.09.2015,
3,Yritysmuoto,Osakeyhtiö,01.09.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,01.09.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.09.2015,,
8,Yrityksen tila,Rekisterissä,01.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,20.05.2015,
12,Postiosoite,Tuvasvägen 118  66100  Malax  Suomi,,
13,Käyntiosoite,Tuvasvägen 118  66100  Malax  Suomi,,
