,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Baby Wallaby Oy,15.06.2015,
1,Y-tunnus,2692941-6,,
2,Kotipaikka,Helsinki,15.06.2015,
3,Yritysmuoto,Osakeyhtiö,15.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.06.2015,,
6,Viimeisin rekisteröintiajankohta,08.09.2022,08.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.06.2015,,
8,Yrityksen tila,Rekisterissä,15.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.03.2020,
11,Yhteystiedot,,09.08.2021,
12,Postiosoite,Louhentie 8 B 5  02130  Espoo  Suomi,,
13,Käyntiosoite,Louhentie 8 B 5  02130  Espoo  Suomi,,
14,Puhelin,"0445276743, 0407295356",,
15,Sähköposti,babywallaby(a)babywallaby.fi,,
16,Www,http://www.babywallaby.com,,
