,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Bonsai Consulting Oy,20.08.2015,
1,Y-tunnus,2704283-3,,
2,Kotipaikka,Vihti,20.08.2015,
3,Yritysmuoto,Osakeyhtiö,20.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.08.2015,,
6,Viimeisin rekisteröintiajankohta,14.03.2023,14.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.08.2015,,
8,Yrityksen tila,Rekisterissä,20.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.03.2020,
11,Yhteystiedot,,19.08.2015,
12,Postiosoite,Hiidenrannantie 18 A 3  03100  Nummela  Suomi,,
13,Käyntiosoite,Hiidenrannantie 18 A 3  03100  Nummela  Suomi,,
