,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Enersense Services Oyj,01.12.2021,
1,Y-tunnus,2727327-9,,
2,Kotipaikka,Helsinki,15.12.2015,
3,Yritysmuoto,Julkinen osakeyhtiö,15.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.12.2015,,
6,Viimeisin rekisteröintiajankohta,12.01.2023,12.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,15.12.2015,,
8,Yrityksen tila,Rekisterissä,15.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.06.2020,
11,Yhteystiedot,,28.04.2022,
12,Postiosoite,Konepajanranta 2  28100  Pori  Suomi,,
13,Käyntiosoite,Konepajanranta 2  28100  Pori  Suomi,,
14,Www,http://www.empower.eu,,
