,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lapinlahden Lähde Oy,15.01.2016,
1,Y-tunnus,2732608-6,,
2,Kotipaikka,Helsinki,15.01.2016,
3,Yritysmuoto,Osakeyhtiö,15.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.01.2016,,
6,Viimeisin rekisteröintiajankohta,12.07.2022,12.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.01.2016,,
8,Yrityksen tila,Rekisterissä,15.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.01.2021,
11,Yhteystiedot,,28.07.2020,
12,Postiosoite,Lapinlahdenpolku 8  00180  Helsinki  Suomi,,
13,Käyntiosoite,Lapinlahdenpolku 8  00180  Helsinki  Suomi,,
