,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MDS Finland Oy,07.10.2015,
1,Y-tunnus,2712303-5,,
2,Kotipaikka,Sipoo,07.10.2015,
3,Yritysmuoto,Osakeyhtiö,07.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.10.2015,,
6,Viimeisin rekisteröintiajankohta,22.08.2022,22.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.10.2015,,
8,Yrityksen tila,Rekisterissä,07.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,01.12.2022,
12,Postiosoite,Lars Sonckin kaari 14  02600  Espoo  Suomi,,
13,Käyntiosoite,Lars Sonckin kaari 14  02600  Espoo  Suomi,,
14,Puhelin,"+358503801134, +358503801134",,
15,Sähköposti,jani(a)mdsfinland.com,,
16,Www,http://www.mdsfinland.com,,
