,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,QOn Oy,15.02.2016,
1,Y-tunnus,2685479-2,,
2,Kotipaikka,Oulu,04.05.2015,
3,Yritysmuoto,Osakeyhtiö,04.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.05.2015,,
6,Viimeisin rekisteröintiajankohta,31.10.2022,31.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.05.2015,,
8,Yrityksen tila,Rekisterissä,04.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.10.2022,
11,Yhteystiedot,,21.03.2018,
12,Postiosoite,Hakamaantie 18  90440  Kempele  Suomi,,
13,Käyntiosoite,Hakamaantie 18  90440  Kempele  Suomi,,
