,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mandatum Life Vuokratontit I GP Oy,14.07.2016,
1,Y-tunnus,2701270-6,,
2,Kotipaikka,Helsinki,12.11.2015,
3,Yritysmuoto,Osakeyhtiö,12.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.11.2015,,
6,Viimeisin rekisteröintiajankohta,16.01.2023,16.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,12.11.2015,,
8,Yrityksen tila,Rekisterissä,12.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,12.06.2020,
11,Yhteystiedot,,01.10.2021,
12,Postiosoite,c/o Mandatum Asset Management  PL 1221  00101  Helsinki  Suomi,,
13,Käyntiosoite,c/o Mandatum Asset Management  Bulevardi 56  00120  Helsinki  Suomi,,
