,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Iisi Capital Oy,08.12.2015,
1,Y-tunnus,2726523-6,,
2,Kotipaikka,Kaarina,08.12.2015,
3,Yritysmuoto,Osakeyhtiö,08.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.12.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.12.2015,,
8,Yrityksen tila,Rekisterissä,08.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,24.08.2021,
12,Postiosoite,Vesurikatu 9  20780  Kaarina  Suomi,,
13,Käyntiosoite,Vesurikatu 9  20780  Kaarina  Suomi,,
