,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Granin Auto Oy,03.02.2016,
1,Y-tunnus,2731854-5,,
2,Kotipaikka,Espoo,03.02.2016,
3,Yritysmuoto,Osakeyhtiö,03.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.02.2016,,
6,Viimeisin rekisteröintiajankohta,31.08.2022,31.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,03.02.2016,,
8,Yrityksen tila,Rekisterissä,03.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.02.2021,
11,Yhteystiedot,,03.02.2016,
12,Postiosoite,Kuurinmäentie 12  02750  Espoo  Suomi,,
13,Käyntiosoite,Kuurinmäentie 12  02750  Espoo  Suomi,,
