,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Timberpoint Oy,28.12.2015,
1,Y-tunnus,2733109-6,,
2,Kotipaikka,Loviisa,28.12.2015,
3,Yritysmuoto,Osakeyhtiö,28.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.12.2015,,
6,Viimeisin rekisteröintiajankohta,16.02.2023,16.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.12.2015,,
8,Yrityksen tila,Rekisterissä,28.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.11.2022,
11,Yhteystiedot,,18.03.2022,
12,Postiosoite,Teollisuuskatu 33  00510  Helsinki  Suomi,,
13,Käyntiosoite,Valkolammentie 2  07910  Valko  Suomi,,
14,Puhelin,0405450165,,
