,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,About Flowers Oy,25.11.2015,
1,Y-tunnus,2724898-9,,
2,Kotipaikka,Helsinki,25.11.2015,
3,Yritysmuoto,Osakeyhtiö,25.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.11.2015,,
6,Viimeisin rekisteröintiajankohta,17.11.2021,17.11.2021,
7,Yrityksen tiedot järjestelmässä alkaen,25.11.2015,,
8,Yrityksen tila,Rekisterissä,25.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,30.08.2016,
12,Postiosoite,Lallukankuja 5 B 4  00920  Helsinki  Suomi,,
13,Puhelin,+358451390755,,
14,Sähköposti,info(a)aboutflowers.fi,,
