,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HISSIPAJA OY,01.01.2016,
1,Y-tunnus,2733436-9,,
2,Kotipaikka,Vantaa,01.01.2016,
3,Yritysmuoto,Osakeyhtiö,01.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.01.2016,,
6,Viimeisin rekisteröintiajankohta,26.04.2023,26.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.01.2016,,
8,Yrityksen tila,Rekisterissä,01.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,28.10.2018,
12,Postiosoite,Vaahtokuja 5 D 42  01600  Vantaa  Suomi,,
13,Käyntiosoite,Vaahtokuja 5 D 42  01600  Vantaa  Suomi,,
