,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fenno Medical Holding Oy,31.05.2015,
1,Y-tunnus,2670458-3,,
2,Kotipaikka,Vantaa,31.05.2015,
3,Yritysmuoto,Osakeyhtiö,31.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.05.2015,,
6,Viimeisin rekisteröintiajankohta,07.03.2023,07.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,31.05.2015,,
8,Yrityksen tila,Rekisterissä,31.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.11.2021,
11,Yhteystiedot,,17.06.2020,
12,Postiosoite,c/o Fenno Optical Oy  Ansatie 6a B  01740  Vantaa  Suomi,,
13,Käyntiosoite,c/o Fenno Optical y  Ansatie 6a B  01740  Vantaa  Suomi,,
