,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Prym Consumer Finland Oy,25.11.2015,
1,Y-tunnus,2714799-3,,
2,Kotipaikka,Kerava,25.11.2015,
3,Yritysmuoto,Osakeyhtiö,06.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.10.2015,,
6,Viimeisin rekisteröintiajankohta,03.08.2022,03.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,06.10.2015,,
8,Yrityksen tila,Rekisterissä,06.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.08.2022,
11,Yhteystiedot,,25.11.2015,
12,Postiosoite,Huhtimontie 6  04200  Kerava  Suomi,,
13,Käyntiosoite,Huhtimontie 6  04200  Kerava  Suomi,,
