,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ala-Hautala Oy,07.12.2015,
1,Y-tunnus,2728784-9,,
2,Kotipaikka,Lapua,07.12.2015,
3,Yritysmuoto,Osakeyhtiö,07.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.12.2022,06.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.12.2015,,
8,Yrityksen tila,Rekisterissä,07.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,03.12.2015,
12,Postiosoite,Alahellantie 94  62130  Hellanmaa  Suomi,,
13,Käyntiosoite,Alahellantie 94  62130  Hellanmaa  Suomi,,
14,Puhelin,0400549023,,
