,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Manser Oy,01.01.2018,
1,Y-tunnus,2730642-1,,
2,Kotipaikka,Lahti,30.12.2015,
3,Yritysmuoto,Osakeyhtiö,30.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.12.2015,,
6,Viimeisin rekisteröintiajankohta,09.03.2023,09.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,30.12.2015,,
8,Yrityksen tila,Rekisterissä,30.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,08.03.2018,
12,Postiosoite,Taapelikatu 2 A 6  15140  Lahti  Suomi,,
13,Käyntiosoite,Vuorikatu 3  15110  Lahti  Suomi,,
14,Puhelin,"0400493873, 0400493873",,
15,Sähköposti,huolto(a)manser.fi,,
16,Www,http://www.manser.fi,,
