,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lucky John Suomi Oy,13.01.2016,
1,Y-tunnus,2727616-2,,
2,Kotipaikka,Jämsä,13.01.2016,
3,Yritysmuoto,Osakeyhtiö,13.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.04.2022,09.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,13.01.2016,,
8,Yrityksen tila,Rekisterissä,13.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.09.2020,
11,Yhteystiedot,,27.11.2015,
12,Postiosoite,Matokulmantie 202 C  35820  Mänttä  Suomi,,
13,Käyntiosoite,Matokulmantie 202 C  35820  Mänttä  Suomi,,
14,Puhelin,"+35834786020, +358405311800",,
15,Faksi,+35834786020,,
16,Sähköposti,lasse.koivunen(a)kolumbus.fi,,
