,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Goblin Kings Oy,25.08.2015,
1,Y-tunnus,2704708-7,,
2,Kotipaikka,Oulu,25.08.2015,
3,Yritysmuoto,Osakeyhtiö,25.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.08.2015,,
6,Viimeisin rekisteröintiajankohta,30.07.2020,30.07.2020,
7,Yrityksen tiedot järjestelmässä alkaen,25.08.2015,,
8,Yrityksen tila,Rekisterissä,25.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,16.08.2015,
12,Postiosoite,Ohramaltaantie 11  90240  Oulu  Suomi,,
13,Käyntiosoite,Ohramaltaantie 11  90240  Oulu  Suomi,,
14,Puhelin,"044 5353 253, 044 5353 253",,
