,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Villa Augusta Oy,13.08.2015,
1,Y-tunnus,2703863-1,,
2,Kotipaikka,Naantali,13.08.2015,
3,Yritysmuoto,Osakeyhtiö,13.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.08.2015,,
6,Viimeisin rekisteröintiajankohta,12.01.2023,12.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.08.2015,,
8,Yrityksen tila,Rekisterissä,13.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,12.11.2020,
12,Postiosoite,Voimakatu 14  20520  Turku  Suomi,,
13,Käyntiosoite,c/o Ateljee & Studio Jaana Koskiva  Voimakatu 14 A 10  20520  Turku  Suomi,,
14,Puhelin,0442390234,,
15,Sähköposti,jaana(a)coniel.com,,
