,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sara-Fixi Oy,11.11.2015,
1,Y-tunnus,2723163-4,,
2,Kotipaikka,Muhos,11.11.2015,
3,Yritysmuoto,Osakeyhtiö,11.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.11.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.11.2015,,
8,Yrityksen tila,Rekisterissä,11.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,06.11.2015,
12,Postiosoite,jussinkuja 22  91410  Jokirinne  Suomi,,
13,Käyntiosoite,jussinkuja 22  91410  Jokirinne  Suomi,,
14,Puhelin,0505422442,,
