,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TTH-Kiinteistöt Oy,16.04.2015,
1,Y-tunnus,2683369-2,,
2,Kotipaikka,Leppävirta,16.04.2015,
3,Yritysmuoto,Osakeyhtiö,16.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.04.2015,,
6,Viimeisin rekisteröintiajankohta,09.11.2022,09.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.04.2015,,
8,Yrityksen tila,Rekisterissä,16.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.11.2022,
11,Yhteystiedot,,29.08.2022,
12,Postiosoite,Teollisuustie 20  79100  Leppävirta  Suomi,,
13,Käyntiosoite,Laakuntie 26-28  79100  Leppävirta  Suomi,,
14,Puhelin,040 0672150,,
