,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,FinCap Pohjanmaa Oy,29.07.2021,
1,Y-tunnus,2711476-1,,
2,Kotipaikka,Seinäjoki,23.09.2015,
3,Yritysmuoto,Osakeyhtiö,23.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.09.2015,,
6,Viimeisin rekisteröintiajankohta,24.02.2023,24.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,23.09.2015,,
8,Yrityksen tila,Rekisterissä,23.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.08.2021,
11,Yhteystiedot,,03.02.2022,
12,Postiosoite,Torikatu 1 A 5  60100  Seinäjoki  Suomi,,
13,Käyntiosoite,Torikatu 1 A 5  60100  Seinäjoki  Suomi,,
14,Www,http://www.fincaprakennus.fi,,
