,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Apex Capital Oy,02.10.2015,
1,Y-tunnus,2711999-2,,
2,Kotipaikka,Turku,02.10.2015,
3,Yritysmuoto,Osakeyhtiö,02.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.10.2015,,
6,Viimeisin rekisteröintiajankohta,24.01.2023,24.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.10.2015,,
8,Yrityksen tila,Rekisterissä,02.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.03.2020,
11,Yhteystiedot,,11.11.2020,
12,Postiosoite,Vattuniemenkatu 27 B 46  00210  Helsinki  Suomi,,
13,Käyntiosoite,Vattuniemenkatu 27 B 46  00210  Helsinki  Suomi,,
14,Puhelin,0400 499 671,,
15,Sähköposti,majjar(a)outlook.com,,
