,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Päiväkoti Karuselli Oy,11.03.2015,
1,Y-tunnus,2671120-6,,
2,Kotipaikka,Tyrnävä,11.03.2015,
3,Yritysmuoto,Osakeyhtiö,11.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.03.2015,,
6,Viimeisin rekisteröintiajankohta,29.08.2022,29.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.03.2015,,
8,Yrityksen tila,Rekisterissä,11.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,28.01.2015,
12,Postiosoite,Karpaloniemi 4 A  91910  Tupos  Suomi,,
13,Käyntiosoite,Haravamiehenntie 1  91800  Tyrnävä  Suomi,,
