,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Duolog Extend Oy,20.03.2015,
1,Y-tunnus,2680635-2,,
2,Kotipaikka,Vantaa,20.03.2015,
3,Yritysmuoto,Osakeyhtiö,20.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.03.2015,,
6,Viimeisin rekisteröintiajankohta,27.02.2023,27.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.03.2015,,
8,Yrityksen tila,Rekisterissä,20.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.05.2020,
11,Yhteystiedot,,10.03.2015,
12,Postiosoite,Perintötie 8  01510  Vantaa  Suomi,,
13,Käyntiosoite,Perintötie 8  01510  Vantaa  Suomi,,
14,Puhelin,0207199730,,
15,Sähköposti,info(a)duolog.fi,,
16,Www,http://www.duolog.fi,,
