,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lahtivuori Consulting Oy Ltd,20.10.2015,
1,Y-tunnus,2716679-9,,
2,Kotipaikka,Turku,20.10.2015,
3,Yritysmuoto,Osakeyhtiö,20.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.10.2015,,
6,Viimeisin rekisteröintiajankohta,03.03.2023,03.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.10.2015,,
8,Yrityksen tila,Rekisterissä,20.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,13.05.2022,
11,Yhteystiedot,,07.02.2017,
12,Postiosoite,c/o High Gienic Oy  Kaarikatu 8 A  20760  Piispanristi  Suomi,,
13,Käyntiosoite,c/o High Gienic Oy  Kaarikatu 8 A  20760  Piispanristi  Suomi,,
14,Puhelin,040 5015 866,,
