,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Optitar Oy,20.08.2015,
1,Y-tunnus,2704806-3,,
2,Kotipaikka,Tampere,20.08.2015,
3,Yritysmuoto,Osakeyhtiö,20.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.08.2015,,
6,Viimeisin rekisteröintiajankohta,18.06.2022,18.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.08.2015,,
8,Yrityksen tila,Rekisterissä,20.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2020,
11,Yhteystiedot,,01.11.2017,
12,Postiosoite,Mäentakusenkatu 1  33580  Tampere  Suomi,,
13,Käyntiosoite,Mäentakusenkatu 1  33580  Tampere  Suomi,,
