,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Spinnaked Oy Ab,03.02.2016,
1,Y-tunnus,2735900-5,,
2,Kotipaikka,Helsinki,03.02.2016,
3,Yritysmuoto,Osakeyhtiö,03.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.02.2016,,
6,Viimeisin rekisteröintiajankohta,30.05.2023,30.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,03.02.2016,,
8,Yrityksen tila,Rekisterissä,03.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,12.01.2016,
12,Postiosoite,Högbergsgatan 24 D 31  00130  Helsinki  Suomi,,
13,Käyntiosoite,Högbergsgatan 24 D 31  00130  Helsinki  Suomi,,
14,Puhelin,0408481640,,
