,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Björnidet Ab,26.05.2015,
1,Y-tunnus,2691724-7,,
2,Kotipaikka,Uusikaarlepyy,26.05.2015,
3,Yritysmuoto,Osakeyhtiö,26.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.05.2015,,
6,Viimeisin rekisteröintiajankohta,10.02.2023,10.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.05.2015,,
8,Yrityksen tila,Rekisterissä,26.05.2015,
9,Yrityksen tilanne,Selvitystilassa,10.02.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,01.09.2022,
12,Yhteystiedot,,03.05.2022,
13,Postiosoite,c/o Energiequelle Oy  Malminkatu 30  00100  Helsinki  Suomi,,
14,Käyntiosoite,c/o Energiequelle Oy  Malminkatu 30  00100  Helsinki  Suomi,,
15,Puhelin,044 974 1482,,
16,Sähköposti,finland(a)energiequelle.fi,,
