,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TH turve oy,19.01.2016,
1,Y-tunnus,2734924-5,,
2,Kotipaikka,Lapua,19.01.2016,
3,Yritysmuoto,Osakeyhtiö,19.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.01.2016,,
6,Viimeisin rekisteröintiajankohta,19.07.2022,19.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.01.2016,,
8,Yrityksen tila,Rekisterissä,19.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.10.2019,
11,Yhteystiedot,,29.09.2016,
12,Postiosoite,Valenttiininkuja 3  62200  Kauhava  Suomi,,
13,Käyntiosoite,valenttiininkuja 3  62200  Kauhava  Suomi,,
14,Puhelin,040-7519319,,
15,Www,http://TH-turve.fi,,
