,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,AsRak Lerkki Oy,18.12.2015,
1,Y-tunnus,2731828-9,,
2,Kotipaikka,Loimaa,18.12.2015,
3,Yritysmuoto,Osakeyhtiö,18.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.12.2015,,
6,Viimeisin rekisteröintiajankohta,18.05.2023,18.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.12.2015,,
8,Yrityksen tila,Rekisterissä,18.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.06.2020,
11,Yhteystiedot,,14.12.2015,
12,Postiosoite,Kuiduntie 55  32250  Kojonkulma  Suomi,,
13,Puhelin,050 570 2513,,
