,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Cimare Oy,02.02.2016,
1,Y-tunnus,2731845-7,,
2,Kotipaikka,Helsinki,02.02.2016,
3,Yritysmuoto,Osakeyhtiö,02.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.02.2016,,
6,Viimeisin rekisteröintiajankohta,22.04.2023,22.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.02.2016,,
8,Yrityksen tila,Rekisterissä,02.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.03.2020,
11,Yhteystiedot,,10.05.2019,
12,Postiosoite,Asemakatu 10  70100  Kuopio  Suomi,,
13,Käyntiosoite,Asemakatu 10  70100  Kuopio  Suomi,,
14,Puhelin,0400-304802,,
15,Sähköposti,cimare.kuopio(a)gmail.com,,
