,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Agoras Oy,30.07.2015,
1,Y-tunnus,2701456-8,,
2,Kotipaikka,Helsinki,30.07.2015,
3,Yritysmuoto,Osakeyhtiö,30.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.07.2015,,
6,Viimeisin rekisteröintiajankohta,20.04.2022,20.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.07.2015,,
8,Yrityksen tila,Rekisterissä,30.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.11.2019,
11,Yhteystiedot,,02.01.2018,
12,Postiosoite,Ryylintie 8 B  15300  Lahti  Suomi,,
13,Käyntiosoite,Ryylintie 8 B  15300  Lahti  Suomi,,
14,Puhelin,0400355677,,
