,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Autohuolto W Oy,05.03.2015,
1,Y-tunnus,2679298-2,,
2,Kotipaikka,Naantali,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,23.03.2023,23.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.07.2016,
12,Postiosoite,Linkkikatu 14  21100  Naantali  Suomi,,
13,Puhelin,0406617777,,
14,Sähköposti,info(a)autohuoltow.fi,,
15,Www,http://www.autohuoltow.fi,,
