,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Hydrohex Oy,23.07.2018,
1,Y-tunnus,2705400-9,,
2,Kotipaikka,Turku,31.08.2015,
3,Yritysmuoto,Osakeyhtiö,31.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.08.2015,,
6,Viimeisin rekisteröintiajankohta,05.04.2023,05.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,31.08.2015,,
8,Yrityksen tila,Rekisterissä,31.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,15.08.2022,
11,Yhteystiedot,,08.12.2022,
12,Postiosoite,Yliopistonkatu 23 A 4  20100  Turku  Suomi,,
13,Käyntiosoite,Yliopistonkatu 23 A 4  20100  Turku  Suomi,,
14,Puhelin,+358405718582,,
15,Sähköposti,info(a)hydrohex.com,,
16,Www,http://www.hydrohex.com,,
