,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Estée Lauder Finland Oy,27.02.2015,
1,Y-tunnus,2678497-4,,
2,Kotipaikka,Helsinki,27.02.2015,
3,Yritysmuoto,Osakeyhtiö,27.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.02.2015,,
6,Viimeisin rekisteröintiajankohta,17.01.2023,17.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,27.02.2015,,
8,Yrityksen tila,Rekisterissä,27.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.05.2020,
11,Yhteystiedot,,25.05.2018,
12,Postiosoite,Hämeentie 15  00500  Helsinki  Suomi,,
13,Käyntiosoite,Hämeentie 15  00500  Helsinki  Suomi,,
