,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Varner Brand Stores Oy,24.02.2016,
1,Y-tunnus,2736259-7,,
2,Kotipaikka,Helsinki,24.02.2016,
3,Yritysmuoto,Osakeyhtiö,24.02.2016,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,24.02.2016,,
6,Viimeisin rekisteröintiajankohta,21.04.2023,21.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,24.02.2016,,
8,Yrityksen tila,Rekisterissä,24.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,16.02.2021,
12,Postiosoite,Urho Kekkosen katu 2 C  00100  Helsingfors  Suomi,,
13,Käyntiosoite,Urho Kekkosen katu 2 C  00100  Helsingfors  Suomi,,
14,Puhelin,+46709298824,,
15,Sähköposti,robert.ahman(a)varner.no,,
16,Www,http://varner.com,,
