,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Suomen Puukauppa Oy,18.11.2015,
1,Y-tunnus,2725071-2,,
2,Kotipaikka,Helsinki,18.11.2015,
3,Yritysmuoto,Osakeyhtiö,18.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.11.2015,,
6,Viimeisin rekisteröintiajankohta,20.04.2023,20.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.11.2015,,
8,Yrityksen tila,Rekisterissä,18.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.07.2020,
11,Yhteystiedot,,31.08.2020,
12,Postiosoite,Energiakatu 4  00180  Helsinki  Suomi,,
13,Käyntiosoite,Energiakatu 4  00180  Helsinki  Suomi,,
14,Puhelin,"+358 40 660 5160, +358 40 660 5160",,
15,Sähköposti,aku.makela(a)kuutio.fi,,
16,Www,http://www.kuutio.fi,,
