,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Metsäsavo Oy,12.11.2015,
1,Y-tunnus,2723197-6,,
2,Kotipaikka,Kuopio,12.11.2015,
3,Yritysmuoto,Osakeyhtiö,12.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.11.2015,,
6,Viimeisin rekisteröintiajankohta,03.05.2022,03.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.11.2015,,
8,Yrityksen tila,Rekisterissä,12.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.10.2021,
11,Yhteystiedot,,25.04.2017,
12,Postiosoite,Marjomäentie 164  71840  Kuuslahti  Suomi,,
13,Käyntiosoite,Marjomäentie 164  71840  Kuuslahti  Suomi,,
14,Www,http://www.metsasavo.fi,,
