,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kekosaunat Oy,27.03.2015,
1,Y-tunnus,2681676-1,,
2,Kotipaikka,Laukaa,27.03.2015,
3,Yritysmuoto,Osakeyhtiö,27.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.03.2015,,
6,Viimeisin rekisteröintiajankohta,17.03.2023,17.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,27.03.2015,,
8,Yrityksen tila,Rekisterissä,27.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.03.2023,
11,Yhteystiedot,,16.03.2015,
12,Postiosoite,Järvilinnantie 136  41330  Vihtavuori  Suomi,,
13,Käyntiosoite,Järvilinnantie 136  41330  Vihtavuori  Suomi,,
14,Puhelin,0407708567,,
15,Sähköposti,jukka.vidgren(a)kekosaunat.fi,,
16,Www,http://www.kekosaunat.fi,,
