,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Suomen Työkone Oy,19.03.2015,
1,Y-tunnus,2680407-4,,
2,Kotipaikka,Seinäjoki,19.03.2015,
3,Yritysmuoto,Osakeyhtiö,19.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.03.2015,,
6,Viimeisin rekisteröintiajankohta,19.02.2023,19.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.03.2015,,
8,Yrityksen tila,Rekisterissä,19.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.02.2023,
11,Yhteystiedot,,21.05.2019,
12,Postiosoite,Tuottajankuja 1 A 1  60100  Seinäjoki  Suomi,,
13,Käyntiosoite,Tuottajankuja 1 A 1  60100  Seinäjoki  Suomi,,
14,Puhelin,0400-877600,,
15,Sähköposti,timo(a)suomentyokone.fi,,
