,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vesa-Set Oy,18.03.2015,
1,Y-tunnus,2679978-9,,
2,Kotipaikka,Tampere,18.03.2015,
3,Yritysmuoto,Osakeyhtiö,18.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.03.2015,,
6,Viimeisin rekisteröintiajankohta,02.09.2022,02.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.03.2015,,
8,Yrityksen tila,Rekisterissä,18.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.09.2019,
11,Yhteystiedot,,07.11.2016,
12,Postiosoite,Sammon valtatie 70  33560  Tampere  Suomi,,
13,Käyntiosoite,Sammon valtatie 70  33560  Tampere  Suomi,,
14,Puhelin,"033564991, 0103262850",,
15,Www,http://www.vst-huolto.fi,,
