,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vihtan Asennus Oy,17.05.2021,
1,Y-tunnus,2687080-5,,
2,Kotipaikka,Oulu,15.05.2015,
3,Yritysmuoto,Osakeyhtiö,15.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.05.2015,,
6,Viimeisin rekisteröintiajankohta,31.05.2022,31.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.05.2015,,
8,Yrityksen tila,Rekisterissä,15.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.06.2020,
11,Yhteystiedot,,26.06.2015,
12,Postiosoite,Sälpäkuja 7  90620  Oulu  Suomi,,
13,Puhelin,0290 092515,,
14,Sähköposti,tilaus(a)vihtaovet.fi,,
15,Www,http://www.vihtaovet.fi,,
