,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,JVW Service Oy,02.03.2015,
1,Y-tunnus,2676239-6,,
2,Kotipaikka,Lahti,02.03.2015,
3,Yritysmuoto,Osakeyhtiö,02.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.03.2015,,
6,Viimeisin rekisteröintiajankohta,25.01.2023,25.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.03.2015,,
8,Yrityksen tila,Rekisterissä,02.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.03.2020,
11,Yhteystiedot,,16.02.2015,
12,Postiosoite,Ilmarisentie 3 A  15200  Lahti  Suomi,,
13,Käyntiosoite,Ilmarisentie 3 A  15200  Lahti  Suomi,,
14,Puhelin,0405197163,,
