,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Funny Day Oy,27.01.2016,
1,Y-tunnus,2729563-8,,
2,Kotipaikka,Helsinki,27.01.2016,
3,Yritysmuoto,Osakeyhtiö,27.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.01.2016,,
6,Viimeisin rekisteröintiajankohta,04.08.2022,04.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.01.2016,,
8,Yrityksen tila,Rekisterissä,27.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,16.11.2018,
12,Postiosoite,Tartu Mnt. 84 A 150 10112 TALLINN  Viro,,
13,Käyntiosoite,Mechelininkatu 22  00100  Helsinki  Suomi,,
14,Puhelin,040 5390735,,
