,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fortuna Capital Ab,30.06.2015,
1,Y-tunnus,2672258-9,,
2,Kotipaikka,Närpiö,27.12.2019,
3,Yritysmuoto,Osakeyhtiö,30.06.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,30.06.2015,,
6,Viimeisin rekisteröintiajankohta,04.08.2022,04.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.06.2015,,
8,Yrityksen tila,Rekisterissä,30.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.07.2020,
11,Yhteystiedot,,26.10.2015,
12,Postiosoite,Berggatan 59  64260  Kaskö  Suomi,,
13,Käyntiosoite,Sjömansgatan 8 A 1  64260  Kaskö  Suomi,,
