,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,VISIOMO OY,13.01.2016,
1,Y-tunnus,2732581-7,,
2,Kotipaikka,Espoo,13.01.2016,
3,Yritysmuoto,Osakeyhtiö,13.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.01.2016,,
6,Viimeisin rekisteröintiajankohta,05.05.2023,05.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.01.2016,,
8,Yrityksen tila,Rekisterissä,13.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.06.2020,
11,Yhteystiedot,,01.05.2019,
12,Postiosoite,Laivasillankatu 14 L 45  00140  Helsinki  Suomi,,
13,Käyntiosoite,Laivasillankatu 14 L 45  00140  Helsinki  Suomi,,
14,Puhelin,045-6246567,,
15,Sähköposti,antti.saravuo(a)visiomo.fi,,
16,Www,http://www.visiomo.fi,,
