,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Radix Invest Oy,01.01.2016,
1,Y-tunnus,2729221-8,,
2,Kotipaikka,Tampere,01.01.2016,
3,Yritysmuoto,Osakeyhtiö,01.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.01.2016,,
6,Viimeisin rekisteröintiajankohta,20.09.2022,20.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.01.2016,,
8,Yrityksen tila,Rekisterissä,01.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.07.2020,
11,Yhteystiedot,,04.12.2015,
12,Postiosoite,Haukkamäenkatu 6 C 4  33560  Tampere  Suomi,,
13,Käyntiosoite,Haukkamäenkatu 6 C 4  33560  Tampere  Suomi,,
14,Puhelin,0504133000,,
