,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Servico Group Oy,09.12.2015,
1,Y-tunnus,2724770-8,,
2,Kotipaikka,Rauma,20.11.2017,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Viimeisin rekisteröintiajankohta,27.01.2023,27.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
8,Yrityksen tila,Rekisterissä,09.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.07.2020,
11,Yhteystiedot,,14.05.2020,
12,Postiosoite,Hakrinkatu 4 D  26100  Rauma  Suomi,,
13,Käyntiosoite,Hakrinkatu 4 D  26100  Rauma  Suomi,,
14,Puhelin,0407265476,,
15,Sähköposti,mikko.rohila(a)rorico.fi,,
