,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy Apotti Ab,15.07.2015,
1,Y-tunnus,2699989-5,,
2,Kotipaikka,Helsinki,15.07.2015,
3,Yritysmuoto,Osakeyhtiö,15.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.07.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2023,06.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,15.07.2015,,
8,Yrityksen tila,Rekisterissä,15.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.03.2021,
11,Yhteystiedot,,03.11.2021,
12,Postiosoite,PL 222  00381  Helsinki  Suomi,,
13,Käyntiosoite,Valimotie 17-19  00380  Helsinki  Suomi,,
14,Puhelin,0207191850,,
15,Sähköposti,oyapottiab(a)apotti.fi,,
16,Www,http://www.apotti.fi,,
