,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kipinä Valmennus Oy,11.05.2015,
1,Y-tunnus,2684983-8,,
2,Kotipaikka,Kerava,11.05.2015,
3,Yritysmuoto,Osakeyhtiö,11.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.05.2015,,
6,Viimeisin rekisteröintiajankohta,03.03.2022,03.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.05.2015,,
8,Yrityksen tila,Rekisterissä,11.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.02.2022,
11,Yhteystiedot,,14.02.2022,
12,Postiosoite,c/o Niemi  Pamparinpolku 88  02480  Kirkkonummi  Suomi,,
13,Puhelin,0445980826,,
