,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Laki- ja yrityspalvelu Ratinen Oy,19.08.2015,
1,Y-tunnus,2704072-3,,
2,Kotipaikka,Lempäälä,19.08.2015,
3,Yritysmuoto,Osakeyhtiö,19.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.08.2015,,
6,Viimeisin rekisteröintiajankohta,24.09.2022,24.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.08.2015,,
8,Yrityksen tila,Rekisterissä,19.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.07.2020,
11,Yhteystiedot,,07.06.2018,
12,Postiosoite,Vätäräisenrinne 7  37550  Lempäälä  Suomi,,
13,Käyntiosoite,Himminpolku 2 lh.  37500  Lempäälä  Suomi,,
