,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vuokatti Bowling Oy,20.07.2015,
1,Y-tunnus,2699428-5,,
2,Kotipaikka,Sotkamo,20.07.2015,
3,Yritysmuoto,Osakeyhtiö,20.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.07.2015,,
6,Viimeisin rekisteröintiajankohta,22.04.2022,22.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.07.2015,,
8,Yrityksen tila,Rekisterissä,20.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,03.07.2015,
12,Postiosoite,Katinkullantie 11  88610  Vuokatti  Suomi,,
13,Käyntiosoite,Katinkullantie 11  88610  Vuokatti  Suomi,,
14,Puhelin,"086640080, 0407415986",,
15,Faksi,086141470,,
16,Sähköposti,marko(a)bowlcircus.com,,
