,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sähköasennus Uusivirta Oy,22.09.2015,
1,Y-tunnus,2708997-3,,
2,Kotipaikka,Karkkila,22.09.2015,
3,Yritysmuoto,Osakeyhtiö,22.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.09.2015,,
6,Viimeisin rekisteröintiajankohta,08.02.2023,08.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,22.09.2015,,
8,Yrityksen tila,Rekisterissä,22.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,13.11.2020,
11,Yhteystiedot,,06.03.2023,
12,Postiosoite,Ratiojankatu 17  03600  Karkkila  Suomi,,
13,Käyntiosoite,Valurinkatu 6  03600  Karkkila  Suomi,,
14,Puhelin,0503871237,,
15,Sähköposti,juho.uusivirta(a)sahkouusivirta.fi,,
16,Www,http://www.sahkouusivirta.fi,,
