,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ab Begravningsbyrå Ingman Hautaustoimisto Oy,28.09.2015,
1,Y-tunnus,2712886-4,,
2,Kotipaikka,Mustasaari,28.09.2015,
3,Yritysmuoto,Osakeyhtiö,28.09.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,28.09.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.09.2015,,
8,Yrityksen tila,Rekisterissä,28.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.06.2020,
11,Yhteystiedot,,22.09.2015,
12,Postiosoite,Marknadsvägen 1  65610  Korsholm  Suomi,,
13,Käyntiosoite,Marknadsvägen 1  65610  Korsholm  Suomi,,
