,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Maskun Riviera 6,16.07.2015,
1,Y-tunnus,2696719-9,,
2,Kotipaikka,Masku,16.07.2015,
3,Yritysmuoto,Osakeyhtiö,16.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.07.2015,,
6,Viimeisin rekisteröintiajankohta,22.04.2022,22.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.07.2015,,
8,Yrityksen tila,Rekisterissä,16.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,25.06.2019,
12,Postiosoite,PL 908  20100  Turku  Suomi,,
13,Käyntiosoite,Läntinen Rantakatu 7  20100  Turku  Suomi,,
14,Puhelin,0207344890,,
