,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Saimaan Autokatsastus Oy,28.09.2015,
1,Y-tunnus,2711643-3,,
2,Kotipaikka,Lappeenranta,28.09.2015,
3,Yritysmuoto,Osakeyhtiö,28.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.09.2015,,
6,Viimeisin rekisteröintiajankohta,12.04.2022,12.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.09.2015,,
8,Yrityksen tila,Rekisterissä,28.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.07.2020,
11,Yhteystiedot,,10.09.2019,
12,Postiosoite,Myllymäenkatu 19 B  53550  Lappeenranta  Suomi,,
13,Käyntiosoite,Myllymäenkatu 19 B  53550  Lappeenranta  Suomi,,
14,Puhelin,044-2393055,,
15,Www,http://www.saimaanautokatsastus.fi,,
