,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Asumisoikeus Oy Espoon Santapellonkuja 1,24.11.2015,
1,Y-tunnus,2717031-7,,
2,Kotipaikka,Espoo,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Lakkaamisajankohta,31.12.2020,31.12.2020,
7,Viimeisin rekisteröintiajankohta,11.05.2021,11.05.2021,
8,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
9,Yrityksen tila,Lakannut,31.12.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
