,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,SL Travels Oy,28.12.2021,
1,Y-tunnus,2727146-8,,
2,Kotipaikka,Helsinki,28.12.2021,
3,Yritysmuoto,Osakeyhtiö,07.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.12.2015,,
6,Viimeisin rekisteröintiajankohta,01.04.2023,01.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,07.12.2015,,
8,Yrityksen tila,Rekisterissä,07.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.08.2022,
11,Yhteystiedot,,22.08.2022,
12,Postiosoite,Puistokatu 1  57100  Savonlinna  Suomi,,
13,Puhelin,0400899999,,
14,Sähköposti,info(a)sltravels.fi,,
15,Www,http://www.sltravels.fi,,
