,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,VM-Works Oy,30.01.2015,
1,Y-tunnus,2666739-9,,
2,Kotipaikka,Alajärvi,20.11.2017,
3,Yritysmuoto,Osakeyhtiö,30.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.01.2015,,
6,Viimeisin rekisteröintiajankohta,18.03.2023,18.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,30.01.2015,,
8,Yrityksen tila,Rekisterissä,30.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.05.2021,
11,Yhteystiedot,,08.08.2019,
12,Postiosoite,Koskenvarrentie 324  62900  Alajärvi  Suomi,,
13,Käyntiosoite,Rengastie 5  62900  Alajärvi  Suomi,,
14,Puhelin,"0405410457, 0408405120",,
15,Sähköposti,Info(a)vm-works.com,,
16,Www,http://www.vm-works.com,,
