,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Uudenmaan Asiakirjapalvelu Oy,02.02.2016,
1,Y-tunnus,2737770-5,,
2,Kotipaikka,Espoo,02.02.2016,
3,Yritysmuoto,Osakeyhtiö,02.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.02.2016,,
6,Viimeisin rekisteröintiajankohta,10.05.2023,10.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.02.2016,,
8,Yrityksen tila,Rekisterissä,02.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.05.2020,
11,Yhteystiedot,,22.03.2023,
12,Postiosoite,c/o Rantakaulio  Ristihaantie 1 A 9  02750  Espoo  Suomi,,
13,Käyntiosoite,c/o Rantakaulio  Ristihaantie 1 A 9  02750  Espoo  Suomi,,
14,Sähköposti,uudenmaan(a)asiakrjapalvelu.com,,
15,Www,http://asiakirjapalvelu.com,,
