,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Solarigo Systems Oy,05.08.2015,
1,Y-tunnus,2702133-8,,
2,Kotipaikka,Mikkeli,01.08.2019,
3,Yritysmuoto,Osakeyhtiö,05.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.08.2015,,
6,Viimeisin rekisteröintiajankohta,27.02.2023,27.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,05.08.2015,,
8,Yrityksen tila,Rekisterissä,05.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2020,
11,Yhteystiedot,,06.08.2020,
12,Postiosoite,Autokeskuksentie 16  33960  Pirkkala  Suomi,,
13,Käyntiosoite,Autokeskuksentie 16  33960  Pirkkala  Suomi,,
14,Puhelin,0400 486 136,,
15,Sähköposti,myynti(a)solarigo.fi,,
16,Www,http://www.solarigo.fi,,
